,question,column
344,How often do you use each of the following social media platforms? - YouTube,q64_6
345,Please indicate which of the following dating apps/sites you have used at any point. - Tinder,q65_1
346,Please indicate which of the following dating apps/sites you have used at any point. - Grindr,q65_2
347,Please indicate which of the following dating apps/sites you have used at any point. - Bumble,q65_3
348,Please indicate which of the following dating apps/sites you have used at any point. - OkCupid,q65_4
349,Please indicate which of the following dating apps/sites you have used at any point. - HER,q65_5
350,Please indicate which of the following dating apps/sites you have used at any point. - Chappy,q65_6
351,Please indicate which of the following dating apps/sites you have used at any point. - Scruff,q65_7
352,Please indicate which of the following dating apps/sites you have used at any point. - Adam4Adam,q65_8
353,Please indicate which of the following dating apps/sites you have used at any point. - Hinge,q65_9
354,Please indicate which of the following dating apps/sites you have used at any point. - Match.com,q65_10
355,Please indicate which of the following dating apps/sites you have used at any point. - Elite Singles,q65_11
356,Please indicate which of the following dating apps/sites you have used at any point. - PinkCupid,q65_12
357,Please indicate which of the following dating apps/sites you have used at any point. - OurTime,q65_13
358,Please indicate which of the following dating apps/sites you have used at any point. - Distinc.tt,q65_14
359,Please indicate which of the following dating apps/sites you have used at any point. - None of these,q65_15
360,At what point in a relationship would you personally be comfortable with sharing passwords to an online streaming service with your partner?,q66
361,Please specify your ethnicity.,qd1
362,How would you describe your race? - White or Caucasian,qd2_1
363,How would you describe your race? - Black or African American,qd2_2
364,How would you describe your race? - Asian,qd2_3
365,How would you describe your race? - Native Hawaiian or Other Pacific Islander,qd2_4
366,How would you describe your race? - American Indian or Alaska Native,qd2_5
367,How would you describe your race? - Other,qd2_6
368,How would you describe your race? - Other,qd2_6_other
369,What is your religion?,qd3
370,What is your religion? - Other,qd3_8_other
371,Do you personally consider yourself to be a spiritual person?,qd4
372,How would you describe your political affiliation these days?,qd5
373,HIDDEN VARIABLE USED IN PROGRAMMING,dumrotate
374,"Generally speaking, do you think of yourself as a Republican, a Democrat, an Independent or something else? Do you feel that way strongly or not so strong?",qd6
375,"Generally speaking, do you think of yourself as a Republican, a Democrat, an Independent or something else? Do you feel that way strongly or not so strong? - Other",qd6_8_other
376,Who did you vote for in the 2016 Presidential Election?,qd7
377,"If President Donald Trump runs for re-election in 2020, would you vote for him?",qd7a
378,People have different reasons for their vote. Why might you vote for Donald Trump if he runs for re-election in 2020?,qd7b
379,People have different reasons for their vote. Why might you not vote for Donald Trump if he runs for re-election in 2020?,qd7c
380,What is your astrological sign?,qd8
381,What are your preferred pronouns?,qd9
382,Do you have children?,qd10a
383,Do you have any children age 18 or under living with you at home?,qd10
384,Are you currently…,qd11
385,Do you currently own a firearm?,qd12
386,Do you regularly do any of the following? - Smoke or consume marijuana,qd12a_1
387,"Do you regularly do any of the following? - Smoke tobacco (i.e., cigarettes, vape, electronic cigarettes)",qd12a_2
388,Do you regularly do any of the following? - Drink alcohol,qd12a_3
389,Do you regularly do any of the following? - None of the above,qd12a_4
390,"Have you or any members of your household ever served in any branch of the U.S. Military (including U.S. Army, Navy, Air Force, Marines...? - I have served in the U.S. Military",qd13_1
391,"Have you or any members of your household ever served in any branch of the U.S. Military (including U.S. Army, Navy, Air Force, Marines...? - One or more members of my household has served in the U.S. Military",qd13_2
392,"Have you or any members of your household ever served in any branch of the U.S. Military (including U.S. Army, Navy, Air Force, Marines...? - None of the above",qd13_3
393,Do you currently rent or own your home/apartment?,qd15
394,What is the last grade of school you completed?,qd16
395,"For statistical purposes ONLY, which of the following categories best represents your total household income from last year?",qd17
396,weight1,weight1
397,Race/Ethnicity,VARA8F4010F18414AF49050
398,College/Non-College,VARA8F4012BFF89411488FD
399,PID,VARA8F4012CE77E42AA88A9
400,LGBTQ Audience,VARA8F4013021324B0A8635
401,How long have you been in your current relationship?,VARA8F4013E88DB4C70B25A
402,"To the best of your recollection, how many committed relationships have you had in the past 5 years?",VARA8F401404B0B4884B37B
403,"To the best of your recollection, at what age did you first experience romantic love?",VARA8F401418C1647C38D94
